Title,Author,Language Level,ID,
Hop on Pop,Dr. Seuss,level_6a,1,
"Jesse Bear,What Will You Wear?",Nancy White Carlstrom,level_6a,2,
Eating the Alphabet: Fruits and Vegetables from A to Z,Lois Ehlert,level_6a,3,
Black? White! Day? Night!,Laura Vaccaro Seeger,level_6a,4,
Big Red Barn,Margaret Wise Brown,level_6a,5,
Noisy Nora,Rosemary Wells,level_6a,6,
Sheep in a Jeep,Nancy Shaw,level_6a,7,
Silly Sally,Audrey Wood,level_6a,8,
How Do Dinosaurs Say Goodnight?,Jane Yolen,level_6a,9,
Angus and the Cat,Marjorie Flack,level_6a,10,
Swimmy,Leo Lionni,level_6a,11,
If You Give a Mouse a Cookie,Laura Numeroff,level_6a,12,
Alligators All Around,Maurice Sendak,level_6a,13,
Feast for 10,Cathryn Falwell,level_6a,14,
One Was Johnny: A Counting Book,Maurice Sendak,level_6a,15,
Ten Nine Eight,Molly Bang,level_6a,16,
Harold and the Purple Crayon,Crockett Johnson,level_6a,17,
"In the Tall, Tall Grass",Denise Fleming,level_6a,18,
Mr. Gumpy's Outing,John Burningham,level_6a,19,
Guess How Much I Love You,Sam McBratney,level_6a,20,
Mean Soup,Betsy Everitt,level_5a,21,
The Doorbell Rang,Pat Hutchins,level_5a,22,
What do you do with a kangaroo?,Mercer Mayer,level_5a,23,
The Icky Bug Alphabet Book,Jerry Pallotta,level_5a,24,
My Very First Mother Goose,edited by Iona Opie,level_5a,25,
A Rainbow of My Own,Don Freeman,level_5a,26,
The Listening Walk,Paul Showers,level_5a,27,
The Little Red Hen,retold by Paul Galdone,level_5a,28,
The Runaway Bunny,Margaret Wise Brown,level_5a,29,
We're Going on a Bear Hunt,Michael Rosen,level_5a,30,
Chicka Chicka Boom Boom,"Bill  Martin Jr. and, John Archambault",level_5a,31,
Old Black Fly,Jim Aylesworth,level_5a,32,
One Hundred Hungry Ants,Elinor  J. Pinczes,level_5a,33,
The ABC Bunny,Wanda Gag,level_5a,34,
Harry the Dirty Dog,Gene Zion,level_5a,35,
The Gigantic Turnip,Aleksei Tolstoy,level_5a,36,
Green Eggs and Ham,Dr. Seuss,level_5a,37,
Miss Spider's Tea Party,David Kirk,level_5a,38,
Ask Mr. Bear,Marjorie Flack,level_5a,39,
The Treasure,Uri Shulevitz,level_5a,40,
Henny Penny,retold by Paul Galdone,level_4a,41,
Alphabears: An ABC Book,Kathleen Hague,level_4a,42,
Bat Jamboree,Kathi Appelt,level_4a,43,
Curious George,H.A. Rey,level_4a,44,
Make Way for Ducklings,Robert McCloskey,level_4a,45,
